OG0024460	ENSSSAG00000100088.1	XM_035760369.2	ENSOKIG00005045768.1	XM_046368360.1
OG0026581	ENSSSAG00000065356.2	XM_035745842.2	ENSOKIG00005020876.1	XM_046300285.1
OG0026582	ENSSSAG00000067998.2	XM_035783913.2	ENSOKIG00005003284.1	XM_046328535.1
OG0026583	ENSSSAG00000083305.1	XM_035741774.2	ENSOKIG00005040768.1	XM_046292602.1
OG0026584	ENSSSAG00000065360.2	XM_035745843.2	ENSOKIG00005020893.1	XM_046300294.1
OG0026585	ENSSSAG00000073185.2	XM_035755616.2	ENSOKIG00005003094.1	XM_046346622.1
OG0026586	ENSSSAG00000052783.2	XM_035780409.2	ENSOKIG00005024604.1	XM_046322301.1
OG0026587	ENSSSAG00000069446.2	XM_052525125.1	ENSOKIG00005050502.1	XM_046290579.1
OG0026588	ENSSSAG00000078278.2	XM_035741769.2	ENSOKIG00005040509.1	XM_046292598.1
OG0026589	ENSSSAG00000039274.2	XR_008076263.1	ENSOKIG00005008608.1	XM_046299648.1
OG0026590	ENSSSAG00000084228.1	XM_035784784.2	ENSOKIG00005045390.1	XM_046327904.1
OG0026591	ENSSSAG00000065371.2	XM_035745846.2	ENSOKIG00005020938.1	XM_046302120.1
OG0026592	ENSSSAG00000005532.2	XM_035783687.2	ENSOKIG00005016623.1	XM_046328376.1
OG0026593	ENSSSAG00000015444.2	XM_052475532.1	ENSOKIG00005030124.1	XM_046299958.1
OG0026594	ENSSSAG00000053873.2	XM_035748973.2	ENSOKIG00005018018.1	XM_046368958.1
OG0026595	ENSSSAG00000101300.1	XM_035794106.2	ENSOKIG00005028992.1	XM_046291703.1
OG0026596	ENSSSAG00000107799.1	XM_035749219.2	ENSOKIG00005029057.1	XM_046361233.1
OG0026597	ENSSSAG00000066059.2	XM_035749099.2	ENSOKIG00005029134.1	XM_046363661.1
OG0026598	ENSSSAG00000007758.2	XM_035743124.2	ENSOKIG00005026126.1	XM_046308005.1
OG0026599	ENSSSAG00000117061.1	XM_035792669.2	ENSOKIG00005028547.1	XM_046290813.1
OG0026600	ENSSSAG00000117473.1	XM_035786355.2	ENSOKIG00005003209.1	XM_046345168.1
OG0026601	ENSSSAG00000079178.2	XM_035763274.2	ENSOKIG00005011974.1	XM_046338903.1
OG0026602	ENSSSAG00000116116.1	XM_052491733.1	ENSOKIG00005020586.1	XM_046297682.1
OG0026603	ENSSSAG00000106542.1	XM_052475794.1	ENSOKIG00005008563.1	XM_046299647.1
OG0026604	ENSSSAG00000080376.2	XM_035788080.2	ENSOKIG00005028429.1	XM_046359948.1
OG0026605	ENSSSAG00000112305.1	XR_004826092.2	ENSOKIG00005041314.1	XM_046316660.1
OG0026606	ENSSSAG00000067503.2	XM_052529283.1	ENSOKIG00005038634.1	XM_046330104.1
OG0026607	ENSSSAG00000057885.2	XM_035762599.2	ENSOKIG00005028106.1	XM_046341689.1
OG0026608	ENSSSAG00000052180.2	XM_052466696.1	ENSOKIG00005008252.1	XM_046344230.1
OG0026609	ENSSSAG00000121975.1	XM_035745822.2	ENSOKIG00005018235.1	XM_046302103.1
OG0026612	ENSSSAG00000058411.2	XM_052474240.1	ENSOKIG00005017436.1	XM_046338760.1
OG0026613	ENSSSAG00000055172.2	XM_052496989.1	ENSOKIG00005048583.1	XM_046366549.1
OG0026615	ENSSSAG00000046527.2	XM_052490540.1	ENSOKIG00005032585.1	XM_046330752.1
OG0026616	ENSSSAG00000114477.1	XM_035753717.2	ENSOKIG00005040155.1	XM_046367686.1
OG0026617	ENSSSAG00000052790.2	XM_035799468.2	ENSOKIG00005041363.1	XM_046321302.1
OG0026618	ENSSSAG00000088449.1	XM_035752775.2	ENSOKIG00005011778.1	XM_046366374.1
OG0026619	ENSSSAG00000072578.2	XM_035752547.2	ENSOKIG00005040142.1	XM_046364503.1
OG0026620	ENSSSAG00000003617.2	XM_052511876.1	ENSOKIG00005022366.1	XM_046295788.1
OG0026621	ENSSSAG00000111176.1	XM_035799690.2	ENSOKIG00005045617.1	XM_046321301.1
OG0026623	ENSSSAG00000009562.2	XM_035753742.1	ENSOKIG00005011770.1	XM_046364457.1
OG0026624	ENSSSAG00000111398.1	XM_035790300.2	ENSOKIG00005016357.1	XM_046300719.1
OG0026625	ENSSSAG00000048268.2	XM_035799688.2	ENSOKIG00005045671.1	XM_046320710.1
OG0026626	ENSSSAG00000076836.2	XM_035755602.2	ENSOKIG00005032699.1	XM_046322391.1
OG0026627	ENSSSAG00000075121.2	XM_035788397.2	ENSOKIG00005035316.1	XM_046357995.1
OG0026628	ENSSSAG00000007886.2	XM_035752641.2	ENSOKIG00005005614.1	XM_046366489.1
OG0026629	ENSSSAG00000063827.2	XM_052471295.1	ENSOKIG00005005391.1	XM_046293192.1
OG0026631	ENSSSAG00000064785.2	XM_035797337.2	ENSOKIG00005000328.1	XM_046341644.1
OG0026632	ENSSSAG00000059195.2	XM_035786452.1	ENSOKIG00005008904.1	XM_046346529.1
OG0026633	ENSSSAG00000066331.2	XM_035799296.2	ENSOKIG00005021878.1	XM_046322568.1
OG0026634	ENSSSAG00000071579.2	XM_035789568.2	ENSOKIG00005025551.1	XM_046360245.1
OG0026635	ENSSSAG00000070879.2	XM_035750426.1	ENSOKIG00005002824.1	XM_046362629.1
OG0026636	ENSSSAG00000117720.1	XM_035795310.2	ENSOKIG00005046931.1	XM_046325335.1
OG0026637	ENSSSAG00000063914.2	XM_035792711.1	ENSOKIG00005005428.1	XM_046293115.1
OG0026638	ENSSSAG00000088509.1	XM_035752890.1	ENSOKIG00005044891.1	XM_046318374.1
OG0026639	ENSSSAG00000048556.2	XM_035800801.2	ENSOKIG00005009384.1	XM_046355269.1
OG0026640	ENSSSAG00000120394.1	XM_035762513.2	ENSOKIG00005024744.1	XM_046357811.1
OG0026641	ENSSSAG00000071221.2	XM_035754700.2	ENSOKIG00005046549.1	XM_046357832.1
OG0026642	ENSSSAG00000115637.1	XM_035801411.2	ENSOKIG00005050661.1	XM_046357047.1
OG0026643	ENSSSAG00000081788.1	XM_035746408.2	ENSOKIG00005020143.1	XM_046332043.1
OG0026644	ENSSSAG00000074469.2	XM_052494857.1	ENSOKIG00005019739.1	XM_046316206.1
OG0026645	ENSSSAG00000005113.2	XM_035743808.2	ENSOKIG00005035700.1	XM_046322847.1
OG0026646	ENSSSAG00000071232.2	XM_035754494.2	ENSOKIG00005046566.1	XM_046358465.1
OG0026648	ENSSSAG00000046782.2	XM_052477309.1	ENSOKIG00005047343.1	XM_046322691.1
OG0026649	ENSSSAG00000063382.2	XM_035760790.2	ENSOKIG00005029956.1	XM_046355110.1
OG0026650	ENSSSAG00000101390.1	XM_035759339.2	ENSOKIG00005032025.1	XM_046316415.1
OG0026651	ENSSSAG00000072410.2	XM_035796878.2	ENSOKIG00005048182.1	XM_046342500.1
OG0026652	ENSSSAG00000054283.2	XM_035765727.2	ENSOKIG00005036088.1	XM_046320014.1
OG0026653	ENSSSAG00000063394.2	XM_035760779.2	ENSOKIG00005029991.1	XM_046356269.1
OG0026655	ENSSSAG00000043281.2	XM_035745633.2	ENSOKIG00005006868.1	XM_046301943.1
OG0026656	ENSSSAG00000101659.1	XM_035761022.2	ENSOKIG00005045007.1	XM_046332228.1
OG0026657	ENSSSAG00000081450.2	XM_052475731.1	ENSOKIG00005012714.1	XM_046299501.1
OG0026658	ENSSSAG00000114826.1	XM_035788437.2	ENSOKIG00005022112.1	XM_046359614.1
OG0026659	ENSSSAG00000067161.2	XM_035750281.2	ENSOKIG00005005385.1	XM_046362731.1
OG0026660	ENSSSAG00000039610.2	XM_035793660.2	ENSOKIG00005019222.1	XM_046292129.1
OG0026661	ENSSSAG00000009333.2	XM_035752756.2	ENSOKIG00005020880.1	XM_046366388.1
OG0026662	ENSSSAG00000109505.1	XM_035788398.2	ENSOKIG00005034218.1	XM_046359667.1
OG0026663	ENSSSAG00000041678.2	XM_035794813.2	ENSOKIG00005034793.1	XM_046325378.1
OG0026665	ENSSSAG00000041551.2	XM_035743803.2	ENSOKIG00005006831.1	XM_046324643.1
OG0026666	ENSSSAG00000058065.2	XM_052457618.1	ENSOKIG00005048481.1	XM_046305988.1
OG0026667	ENSSSAG00000109696.1	XM_035795479.2	ENSOKIG00005021137.1	XM_046326479.1
OG0026668	ENSSSAG00000003357.2	XM_035753738.2	ENSOKIG00005008986.1	XM_046364474.1
OG0026669	ENSSSAG00000094435.1	XM_052511868.1	ENSOKIG00005022345.1	XM_046295789.1
OG0026670	ENSSSAG00000041531.2	XM_035743984.2	ENSOKIG00005006813.1	XM_046323917.1
OG0026671	ENSSSAG00000094627.1	XM_052460067.1	ENSOKIG00005008691.1	XM_046315475.1
OG0026672	ENSSSAG00000055214.2	XM_052522436.1	ENSOKIG00005025098.1	XM_046339370.1
OG0026673	ENSSSAG00000096486.1	XM_035745944.2	ENSOKIG00005020486.1	XM_046302220.1
OG0026674	ENSSSAG00000080082.2	XM_035755553.2	ENSOKIG00005002622.1	XM_046355027.1
OG0026675	ENSSSAG00000049124.2	XM_035749415.2	ENSOKIG00005036452.1	XM_046363697.1
OG0026677	ENSSSAG00000071243.2	XM_035754495.2	ENSOKIG00005046614.1	XM_046358466.1
OG0026679	ENSSSAG00000065844.2	XM_035797340.2	ENSOKIG00005000490.1	XM_046341663.1
OG0026682	ENSSSAG00000080507.2	ne 6 protein-l	ENSOKIG00005012539.1	ne 6 protein-l
OG0026683	ENSSSAG00000068476.2	XM_035774256.2	ENSOKIG00005009947.1	XM_046357551.1
OG0026684	ENSSSAG00000046134.2	XM_035780621.2	ENSOKIG00005014861.1	XM_046313291.1
OG0026686	ENSSSAG00000038944.2	ne 3 _LOC11837	ENSOKIG00005031426.1	ne 3 _rx3__ mR
OG0026687	ENSSSAG00000115711.1	XM_035761636.2	ENSOKIG00005031412.1	XM_046303940.1
OG0026688	ENSSSAG00000054959.2	XM_052483234.1	ENSOKIG00005030510.1	XM_046292320.1
OG0026689	ENSSSAG00000039672.2	XM_035741199.2	ENSOKIG00005023766.1	XM_046343378.1
OG0026690	ENSSSAG00000101189.1	XM_035766448.2	ENSOKIG00005006459.1	XM_046296617.1
OG0026692	ENSSSAG00000068451.2	XM_035759285.2	ENSOKIG00005042323.1	XM_046364828.1
OG0026693	ENSSSAG00000002560.2	XM_052525563.1	ENSOKIG00005047551.1	XM_046313677.1
OG0026694	ENSSSAG00000074737.2	XM_035766411.2	ENSOKIG00005005956.1	XM_046295697.1
OG0026695	ENSSSAG00000055490.2	XM_035767072.2	ENSOKIG00005008971.1	XR_006830815.1
OG0026696	ENSSSAG00000032650.2	XM_035798913.2	ENSOKIG00005000561.1	XM_046303602.1
OG0026697	ENSSSAG00000065890.2	XM_035797344.2	ENSOKIG00005000547.1	XM_046341622.1
OG0026698	ENSSSAG00000055360.2	XM_052470753.1	ENSOKIG00005044786.1	XM_046354732.1
OG0026699	ENSSSAG00000043706.2	XM_035752823.2	ENSOKIG00005023080.1	XM_046366333.1
OG0026700	ENSSSAG00000066980.2	XM_052464272.1	ENSOKIG00005038678.1	XM_046359498.1
OG0026701	ENSSSAG00000079427.2	XM_035737268.2	ENSOKIG00005002878.1	XM_046352946.1
OG0026702	ENSSSAG00000105083.1	XM_035764518.2	ENSOKIG00005018874.1	XM_046295467.1
OG0026703	ENSSSAG00000061751.2	XM_035758833.2	ENSOKIG00005011674.1	XM_046309390.1
OG0026704	ENSSSAG00000100035.1	XM_035750714.2	ENSOKIG00005018666.1	XM_046314269.1
OG0026705	ENSSSAG00000048122.2	XM_052481592.1	ENSOKIG00005042169.1	XM_046364829.1
OG0026706	ENSSSAG00000098616.1	XM_052467783.1	ENSOKIG00005006517.1	XM_046296376.1
OG0026707	ENSSSAG00000046906.2	XM_035762779.2	ENSOKIG00005013128.1	XM_046295197.1
OG0026708	ENSSSAG00000004897.2	XM_035780235.1	ENSOKIG00005040416.1	XM_046297383.1
OG0026709	ENSSSAG00000073700.2	XM_035781713.2	ENSOKIG00005032452.1	XM_046306981.1
OG0026710	ENSSSAG00000042697.2	XM_052528615.1	ENSOKIG00005017105.1	XM_046313119.1
OG0026711	ENSSSAG00000042676.2	XM_052526309.1	ENSOKIG00005017086.1	XM_046312570.1
OG0026712	ENSSSAG00000066998.2	XM_035788545.2	ENSOKIG00005038651.1	XM_046359500.1
OG0026713	ENSSSAG00000063380.2	XM_035750045.2	ENSOKIG00005028187.1	XM_046362965.1
OG0026714	ENSSSAG00000060326.2	XM_052506615.1	ENSOKIG00005001233.1	XM_046311716.1
OG0026715	ENSSSAG00000063714.2	XM_035747586.2	ENSOKIG00005031397.1	XM_046332055.1
OG0026716	ENSSSAG00000071499.2	XM_052480413.1	ENSOKIG00005012112.1	XM_046354760.1
OG0026717	ENSSSAG00000079524.2	XM_035750166.2	ENSOKIG00005003142.1	XM_046362861.1
OG0026718	ENSSSAG00000085774.1	XM_035787571.2	ENSOKIG00005015756.1	XM_046360281.1
OG0026719	ENSSSAG00000055497.2	XM_035755850.2	ENSOKIG00005006561.1	XM_046293956.1
OG0026720	ENSSSAG00000098714.1	XM_052506613.1	ENSOKIG00005000082.1	XM_046312985.1
OG0026722	ENSSSAG00000038785.2	XM_052466223.1	ENSOKIG00005031685.1	XM_046314031.1
OG0026723	ENSSSAG00000048169.2	XM_035738114.2	ENSOKIG00005019947.1	XM_046364227.1
OG0026724	ENSSSAG00000058182.2	XM_035758728.2	ENSOKIG00005019271.1	XM_046294319.1
OG0026725	ENSSSAG00000004826.2	XM_035793025.2	ENSOKIG00005031111.1	XM_046361959.1
OG0026726	ENSSSAG00000121271.1	XM_052497370.1	ENSOKIG00005039924.1	XM_046319251.1
OG0026727	ENSSSAG00000069956.2	XM_035796731.2	ENSOKIG00005025959.1	XM_046342639.1
OG0026728	ENSSSAG00000067425.2	XM_035741156.2	ENSOKIG00005005498.1	XM_046343423.1
OG0026729	ENSSSAG00000094724.1	XM_052518308.1	ENSOKIG00005032448.1	XM_046304433.1
OG0026730	ENSSSAG00000090909.1	XM_052509584.1	ENSOKIG00005000186.1	XM_046311921.1
OG0026731	ENSSSAG00000080427.2	XM_035752957.2	ENSOKIG00005029556.1	XM_046318683.1
OG0026732	ENSSSAG00000074216.2	XM_035787691.2	ENSOKIG00005019631.1	XM_046360330.1
OG0026734	ENSSSAG00000048348.2	XM_035787871.2	ENSOKIG00005048619.1	XM_046358104.1
OG0026735	ENSSSAG00000004595.2	XM_035765375.2	ENSOKIG00005036239.1	XM_046309913.1
OG0026736	ENSSSAG00000046814.2	XM_035753338.1	ENSOKIG00005029787.1	XM_046319348.1
OG0026737	ENSSSAG00000006564.2	XM_052527293.1	ENSOKIG00005000776.1	XM_046311548.1
OG0026738	ENSSSAG00000059447.2	XM_035786451.1	ENSOKIG00005009467.1	XM_046346528.1
OG0026740	ENSSSAG00000095163.1	XM_035739778.1	ENSOKIG00005030819.1	XM_046290859.1
OG0026742	ENSSSAG00000085568.1	XM_035738113.2	ENSOKIG00005019960.1	XM_046364226.1
OG0026743	ENSSSAG00000029895.2	XM_052482161.1	ENSOKIG00005001922.1	XM_046348447.1
OG0026744	ENSSSAG00000076400.2	XM_052473540.1	ENSOKIG00005024628.1	XM_046342365.1
OG0026746	ENSSSAG00000116866.1	XM_035799927.2	ENSOKIG00005030474.1	XM_046322293.1
OG0026747	ENSSSAG00000063261.2	XM_052460825.1	ENSOKIG00005005536.1	XM_046348233.1
OG0026748	ENSSSAG00000079532.2	XM_035799835.2	ENSOKIG00005045614.1	XM_046332793.1
OG0026749	ENSSSAG00000039350.2	XM_035799914.2	ENSOKIG00005032403.1	XM_046322167.1
OG0026750	ENSSSAG00000065361.2	XM_052521800.1	ENSOKIG00005031178.1	XM_046367888.1
OG0026751	ENSSSAG00000068283.2	XM_035740896.2	ENSOKIG00005024592.1	XR_006838177.1
OG0026752	ENSSSAG00000003388.2	XM_035775164.2	ENSOKIG00005030828.1	XM_046299494.1
OG0026753	ENSSSAG00000041783.2	XM_035752822.2	ENSOKIG00005021503.1	XM_046366339.1
OG0026755	ENSSSAG00000068301.2	XM_035740869.2	ENSOKIG00005024711.1	XM_046343652.1
OG0026756	ENSSSAG00000063687.2	XM_035777567.2	ENSOKIG00005037984.1	XM_046313130.1
OG0026757	ENSSSAG00000095793.1	XM_035755526.2	ENSOKIG00005043720.1	XM_046299410.1
OG0026758	ENSSSAG00000001541.2	XM_035794029.2	ENSOKIG00005046354.1	XM_046354236.1
OG0026759	ENSSSAG00000043153.2	XM_052526663.1	ENSOKIG00005013204.1	XM_046311975.1
OG0026761	ENSSSAG00000008223.2	XM_052523321.1	ENSOKIG00005033712.1	XM_046299183.1
OG0026762	ENSSSAG00000052814.2	XM_052472481.1	ENSOKIG00005004787.1	XM_046326287.1
OG0026763	ENSSSAG00000063273.2	XM_052462626.1	ENSOKIG00005004507.1	XM_046345474.1
OG0026764	ENSSSAG00000049625.2	XM_052484219.1	ENSOKIG00005030224.1	XM_046337191.1
OG0026765	ENSSSAG00000007422.2	XM_035783018.2	ENSOKIG00005000994.1	XM_046307247.1
OG0026766	ENSSSAG00000075198.2	XM_035781562.1	ENSOKIG00005050108.1	XM_046306036.1
OG0026767	ENSSSAG00000075996.2	XM_052518252.1	ENSOKIG00005042152.1	XM_046293511.1
OG0026768	ENSSSAG00000110347.1	XM_035765807.2	ENSOKIG00005004179.1	XM_046352292.1
OG0026769	ENSSSAG00000052614.2	XM_035759886.2	ENSOKIG00005024377.1	XM_046322143.1
OG0026770	ENSSSAG00000071823.2	XM_052460961.1	ENSOKIG00005001825.1	XM_046348169.1
OG0026771	ENSSSAG00000063915.2	XM_035744023.2	ENSOKIG00005019480.1	XM_046324610.1
OG0026772	ENSSSAG00000020292.2	XM_035780197.2	ENSOKIG00005044525.1	XM_046323969.1
OG0026773	ENSSSAG00000109130.1	XM_052458729.1	ENSOKIG00005002265.1	XM_046305852.1
OG0026774	ENSSSAG00000110885.1	XM_052460960.1	ENSOKIG00005001815.1	XM_046348170.1
OG0026775	ENSSSAG00000054056.2	XM_035754586.1	ENSOKIG00005025441.1	XM_046358343.1
OG0026776	ENSSSAG00000091907.1	XM_035777054.2	ENSOKIG00005000011.1	XM_046311507.1
OG0026777	ENSSSAG00000117648.1	XM_035777102.1	ENSOKIG00005000653.1	XM_046309784.1
OG0026778	ENSSSAG00000005511.2	XM_035767925.2	ENSOKIG00005010343.1	XM_046295868.1
OG0026779	ENSSSAG00000115822.1	XM_035749097.2	ENSOKIG00005036651.1	XM_046364093.1
OG0026780	ENSSSAG00000051654.2	XM_035762643.2	ENSOKIG00005012746.1	XM_046295189.1
OG0026781	ENSSSAG00000119612.1	XM_052526160.1	ENSOKIG00005000953.1	XM_046311664.1
OG0026783	ENSSSAG00000050708.2	XM_035748680.2	ENSOKIG00005006584.1	XM_046297573.1
OG0026784	ENSSSAG00000067803.2	XM_052526159.1	ENSOKIG00005000957.1	XM_046312981.1
OG0026785	ENSSSAG00000067311.2	XM_035754674.2	ENSOKIG00005011548.1	XM_046357909.1
OG0026786	ENSSSAG00000121403.1	XM_035754683.2	ENSOKIG00005029379.1	XM_046357876.1
OG0026788	ENSSSAG00000055622.2	XM_035754270.2	ENSOKIG00005029456.1	XM_046357874.1
OG0026789	ENSSSAG00000114958.1	XM_035754708.2	ENSOKIG00005025465.1	XM_046357806.1
OG0026790	ENSSSAG00000064664.2	XM_035777125.2	ENSOKIG00005000954.1	XM_046313062.1
OG0026791	ENSSSAG00000007125.2	XM_035756500.2	ENSOKIG00005032334.1	XM_046361953.1
OG0026792	ENSSSAG00000112901.1	XM_035762654.2	ENSOKIG00005012727.1	XM_046295190.1
OG0026793	ENSSSAG00000051681.2	XM_052507740.1	ENSOKIG00005012669.1	XM_046296519.1
OG0026794	ENSSSAG00000070369.2	XM_035795632.2	ENSOKIG00005016344.1	XM_046327369.1
OG0026795	ENSSSAG00000009766.2	XM_035757643.2	ENSOKIG00005022242.1	XM_046361752.1
OG0026796	ENSSSAG00000075790.2	XM_035773478.2	ENSOKIG00005016680.1	XM_046362110.1
OG0026797	ENSSSAG00000049874.2	XM_035758770.2	ENSOKIG00005006455.1	XM_046312542.1
OG0026798	ENSSSAG00000119261.1	XM_035792907.2	ENSOKIG00005021979.1	XM_046360840.1
OG0026799	ENSSSAG00000121281.1	XM_035791332.2	ENSOKIG00005034068.1	XM_046294585.1
OG0026800	ENSSSAG00000073622.2	XM_052470108.1	ENSOKIG00005014937.1	XM_046360854.1
OG0026801	ENSSSAG00000052678.2	XM_035796031.2	ENSOKIG00005036077.1	XM_046332209.1
OG0026802	ENSSSAG00000075792.2	XM_035773485.2	ENSOKIG00005016709.1	XM_046362120.1
OG0026803	ENSSSAG00000066425.2	nesis-regulati	ENSOKIG00005000800.1	nesis-regulati
OG0026804	ENSSSAG00000069658.2	XM_035787569.1	ENSOKIG00005036525.1	XM_046301399.1
OG0026805	ENSSSAG00000063762.2	XM_052473685.1	ENSOKIG00005041356.1	XM_046341795.1
OG0026806	ENSSSAG00000109142.1	XM_035759057.2	ENSOKIG00005049057.1	XM_046296034.1
OG0026808	ENSSSAG00000119978.1	XM_035777108.2	ENSOKIG00005000666.1	XM_046309794.1
OG0026810	ENSSSAG00000005460.2	XM_035762597.2	ENSOKIG00005012551.1	XM_046295187.1
OG0026811	ENSSSAG00000084310.1	XM_035789668.2	ENSOKIG00005040146.1	XM_046299779.1
OG0026812	ENSSSAG00000077389.2	XM_035739705.2	ENSOKIG00005034759.1	XM_046336591.1
OG0026813	ENSSSAG00000053964.2	XM_052492096.1	ENSOKIG00005037505.1	XM_046297325.1
OG0026814	ENSSSAG00000068418.2	XM_035772761.2	ENSOKIG00005032028.1	XM_046333425.1
OG0026815	ENSSSAG00000065205.2	XM_052496202.1	ENSOKIG00005008722.1	XM_046368416.1
OG0026816	ENSSSAG00000090561.1	XM_035782858.2	ENSOKIG00005015129.1	XM_046307326.1
OG0026817	ENSSSAG00000121390.1	XM_035790383.2	ENSOKIG00005014340.1	XM_046357931.1
OG0026818	ENSSSAG00000051052.2	XM_035790382.2	ENSOKIG00005014364.1	XM_046357939.1
OG0026819	ENSSSAG00000000869.2	XM_035788909.2	ENSOKIG00005050167.1	XM_046357977.1
OG0026820	ENSSSAG00000082720.1	XM_035780195.2	ENSOKIG00005045678.1	XM_046324039.1
OG0026821	ENSSSAG00000086953.1	XM_035772964.2	ENSOKIG00005047485.1	XM_046315532.1
OG0026822	ENSSSAG00000118027.1	XM_035790381.2	ENSOKIG00005014372.1	XM_046365127.1
OG0026823	ENSSSAG00000120301.1	XM_035780422.2	ENSOKIG00005025271.1	XM_046322331.1
OG0026824	ENSSSAG00000005506.2	XM_035772970.2	ENSOKIG00005047498.1	XM_046313705.1
OG0026825	ENSSSAG00000109179.1	XM_052513921.1	ENSOKIG00005033200.1	XM_046336928.1
OG0026826	ENSSSAG00000065419.2	XM_035779004.2	ENSOKIG00005046072.1	XM_046312778.1
OG0026827	ENSSSAG00000006990.2	XM_035760720.2	ENSOKIG00005048106.1	XM_046352039.1
OG0026828	ENSSSAG00000107647.1	XM_035746853.2	ENSOKIG00005026604.1	XM_046331764.1
OG0026829	ENSSSAG00000045526.2	XM_035779133.2	ENSOKIG00005003116.1	XM_046311929.1
OG0026830	ENSSSAG00000002207.2	XM_035759535.2	ENSOKIG00005036798.1	XM_046295976.1
OG0026831	ENSSSAG00000099584.1	XM_035751750.2	ENSOKIG00005009601.1	XM_046367712.1
OG0026832	ENSSSAG00000002024.2	XM_035746854.2	ENSOKIG00005018649.1	XM_046331654.1
OG0026833	ENSSSAG00000087280.1	XM_035759549.2	ENSOKIG00005036793.1	XM_046296681.1
OG0026834	ENSSSAG00000074191.2	XM_052491912.1	ENSOKIG00005025176.1	XM_046297458.1
OG0026835	ENSSSAG00000089658.1	XM_035759557.2	ENSOKIG00005036756.1	XM_046295975.1
OG0026837	ENSSSAG00000084523.1	XM_035759553.2	ENSOKIG00005036738.1	XM_046296680.1
OG0026838	ENSSSAG00000111051.1	XM_035735227.2	ENSOKIG00005017672.1	XM_046350561.1
OG0026839	ENSSSAG00000068282.2	XM_035778871.2	ENSOKIG00005025071.1	XM_046312198.1
OG0026840	ENSSSAG00000062915.2	XM_035770755.2	ENSOKIG00005002490.1	XM_046306788.1
OG0026841	ENSSSAG00000062999.2	XM_052494409.1	ENSOKIG00005012197.1	XM_046313795.1
OG0026842	ENSSSAG00000107946.1	XM_035770756.2	ENSOKIG00005002496.1	XM_046303727.1
OG0026844	ENSSSAG00000100914.1	XM_035738372.2	ENSOKIG00005043682.1	XM_046365361.1
OG0026845	ENSSSAG00000072662.2	XM_035792173.2	ENSOKIG00005040613.1	XM_046294242.1
OG0026846	ENSSSAG00000070282.2	XM_035784575.2	ENSOKIG00005049795.1	XM_046299683.1
OG0026847	ENSSSAG00000070284.2	XM_035784588.1	ENSOKIG00005049791.1	XM_046302408.1
OG0026848	ENSSSAG00000001938.2	XM_052518258.1	ENSOKIG00005035298.1	XM_046293520.1
OG0026850	ENSSSAG00000041290.2	XM_035743668.2	ENSOKIG00005016256.1	XM_046309052.1
OG0026851	ENSSSAG00000041260.2	XM_035743671.2	ENSOKIG00005016226.1	XM_046309357.1
OG0026852	ENSSSAG00000056880.2	XM_035743466.2	ENSOKIG00005045949.1	XM_046307932.1
OG0026853	ENSSSAG00000047406.2	XM_035775378.2	ENSOKIG00005012896.1	XM_046298020.1
OG0026854	ENSSSAG00000000041.2	XM_035765046.2	ENSOKIG00005004661.1	XM_046335177.1
OG0026855	ENSSSAG00000056927.2	XM_052517211.1	ENSOKIG00005017399.1	XM_046296171.1
OG0026856	ENSSSAG00000001901.2	XM_052518143.1	ENSOKIG00005020654.1	XM_046296263.1
OG0026857	ENSSSAG00000003585.2	XM_035791210.2	ENSOKIG00005002321.1	XM_046352033.1
OG0026858	ENSSSAG00000077762.2	XM_035799199.2	ENSOKIG00005032894.1	XM_046300643.1
OG0026860	ENSSSAG00000110101.1	XM_035753593.2	ENSOKIG00005008662.1	XM_046367533.1
OG0026862	ENSSSAG00000083616.1	XM_052466999.1	ENSOKIG00005014526.1	XM_046360815.1
OG0026863	ENSSSAG00000076076.2	XM_035754210.1	ENSOKIG00005011296.1	XM_046358744.1
OG0026864	ENSSSAG00000093804.1	XM_035754682.1	ENSOKIG00005011313.1	XM_046358743.1
OG0026867	ENSSSAG00000070962.2	XM_035759110.2	ENSOKIG00005018275.1	XM_046327773.1
OG0026869	ENSSSAG00000038936.2	XM_035783807.2	ENSOKIG00005004927.1	XM_046329201.1
OG0026870	ENSSSAG00000049387.2	XM_052520077.1	ENSOKIG00005046816.1	XM_046317356.1
OG0026872	ENSSSAG00000076989.2	XM_035743307.2	ENSOKIG00005009407.1	XM_046308365.1
OG0026873	ENSSSAG00000006835.2	XM_052520108.1	ENSOKIG00005030952.1	XM_046317133.1
OG0026874	ENSSSAG00000039898.2	XM_052492733.1	ENSOKIG00005001272.1	XM_046361219.1
OG0026875	ENSSSAG00000078957.2	XM_052492613.1	ENSOKIG00005001701.1	XM_046361183.1
OG0026876	ENSSSAG00000063415.2	XM_052496211.1	ENSOKIG00005006739.1	XM_046367520.1
OG0026877	ENSSSAG00000048592.2	XM_035801343.2	ENSOKIG00005009416.1	XM_046357112.1
OG0026878	ENSSSAG00000049082.2	XM_035790373.2	ENSOKIG00005015109.1	XM_046357998.1
OG0026881	ENSSSAG00000066135.2	XM_035790415.2	ENSOKIG00005009927.1	XM_046357714.1
OG0026882	ENSSSAG00000075154.2	XM_052458174.1	ENSOKIG00005014667.1	XM_046306669.1
OG0026883	ENSSSAG00000057836.2	XM_035800588.2	ENSOKIG00005048771.1	XM_046321967.1
OG0026884	ENSSSAG00000072596.2	XM_035783224.2	ENSOKIG00005018256.1	XM_046306992.1
